"compound_name","filename","voltage","MS2"
"N6-Methyladenine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"51.31402, 111689; 52.01901, 171945; 53.99826, 266691; 54.0221, 330546; 54.03461, 319597; 55.02986, 4614364; 57.04551, 3295913; 58.42437, 137685; 64.17197, 112099; 65.01422, 128994; 66.02196, 215721; 67.02981, 1804064; 69.04543, 3338686; 69.59622, 112784; 70.04079, 190455; 71.2813, 118124; 71.43718, 105299; 74.92656, 133705; 79.02972, 3091100; 79.47832, 113579; 81.03278, 1350408; 81.04528, 838513; 82.04059, 4750514; 89.08617, 116517; 92.02484, 1126540; 94.0405, 10372339; 96.05613, 5466390; 96.05972, 208588; 106.0404, 4864548; 107.39279, 114170; 108.04344, 18861602; 109.05119, 1205134; 112.05093, 922782; 116.29895, 148149; 119.03547, 3604319; 119.04025, 227935; 120.83041, 123738; 121.05112, 1297209; 122.05906, 118796; 123.06675, 11371717; 124.05081, 514822; 133.05104, 3938781; 135.05409, 2965983; 137.04588, 311257; 139.69084, 122144; 148.0618, 1133948; 150.07748, 7180006; 151.06161, 603986"
"Acetylcholine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",NA,NA
"Acetylcholine","210204_Std_4uMStdsMix1InH2O_pos2.mzML",NA,NA
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",20,"56.14759, 70943; 60.08154, 1396493; 60.08315, 109385; 68.92207, 58919; 69.72305, 53184; 72.26432, 62850; 74.83924, 60731; 86.09698, 71223; 87.04462, 18901900; 114.95312, 56093; 124.04393, 71549; 146.11758, 4674660"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",35,"50.72436, 56552; 50.77337, 55077; 52.01112, 55722; 59.24052, 68374; 60.08155, 1487734; 62.49619, 69193; 65.11684, 55027; 71.29259, 58638; 71.54305, 51990; 72.02549, 55006; 76.22663, 83623; 76.97846, 59456; 87.04461, 19886514; 102.42757, 57322; 104.7977, 59650; 105.44643, 53375; 120.63987, 61174; 130.3358, 63461; 146.11758, 4541870; 153.9568, 59788"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",50,"57.25722, 54325; 60.08152, 1067046; 62.2038, 62737; 66.58955, 56817; 69.47373, 57091; 71.97584, 69469; 87.04459, 23315360; 92.10488, 61008; 101.08224, 58971; 109.98302, 52795; 118.98485, 64951; 123.51227, 68308; 146.11754, 879826"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos1.mzML",100,"54.54572, 53919; 54.64965, 59521; 58.06588, 159785; 60.08154, 233197; 74.11035, 58233; 75.63554, 50466; 86.09776, 60524; 87.04462, 4482508; 100.98896, 57244; 106.78648, 50845; 110.13858, 52480; 113.5658, 55022; 122.80476, 65961; 137.11458, 57401"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",20,"51.02842, 44741; 60.08152, 1089333; 85.44824, 51938; 87.04461, 14664629; 103.05699, 42918; 106.09675, 45548; 116.05382, 46341; 146.11757, 3166612"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",35,"55.17525, 47526; 59.4495, 44099; 60.0815, 1184383; 60.38126, 47548; 76.31372, 44170; 86.39137, 47781; 87.04459, 16796848; 87.91406, 62936; 102.38476, 47372; 110.80265, 52295; 119.56282, 45448; 136.48764, 45887; 136.75003, 49691; 142.4805, 49957; 146.11757, 3434370"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",50,"54.24611, 52443; 60.04713, 46021; 60.08154, 692524; 61.08064, 59983; 63.01559, 46814; 73.76357, 49593; 75.11042, 51082; 77.32468, 50896; 87.04462, 15226567; 98.19008, 46688; 127.23394, 53475; 146.11751, 560715; 147.99101, 56596; 148.51535, 55533"
"Acetylcholine","210204_Std_4uMStdsMix2InH2O_pos2.mzML",100,"58.06589, 147175; 58.69784, 42053; 60.08153, 236670; 64.48871, 47477; 81.67678, 41520; 87.04462, 3353658; 112.90744, 46229"
"O-Acetylcarnitine","210204_Std_4uMStdsMix1InH2O_pos1.mzML",20,"51.88942, 207235; 55.30629, 261499; 60.08155, 13798147; 62.44088, 226099; 65.47564, 243551; 67.70261, 219320; 67.81697, 182232; 85.02901, 45775428; 89.92318, 226162; 99.69668, 193857; 100.52515, 224490; 122.32509, 201687; 138.16977, 265661; 144.10199, 2410283; 145.04961, 21440620; 168.06207, 233412; 172.27017, 205668; 174.6497, 263021; 204.12312, 117231392; 219.02415, 1842067; 53.91017, 66551; 60.08158, 4631598; 60.57995, 60778; 78.46104, 73798; 80.53735, 66676; 84.40274, 63268; 85.02906, 14901443; 108.29267, 60137; 115.50562, 71176; 123.93175, 66301; 144.10207, 741192; 145.0497, 7047382; 150.92464, 73771; 155.95386, 66678; 178.34572, 66200; 204.12323, 38258264; 219.0097, 375883; 219.02409, 401883"
