Compound.Name,Level,Classification
Citric_acid,level 8,Tricarboxylic_acids_and_derivatives
Citrulline,kingdom,Organic_compounds
Citrulline,superclass,Organic_acids_and_derivatives
Citrulline,class,Carboxylic_acids_and_derivatives
Citrulline,subclass,Amino_acids_peptides_and_analogues
Citrulline,level 5,Amino_acids_and_derivatives
Citrulline,level 6,Alpha_amino_acids_and_derivatives
Citrulline,level 7,Alpha_amino_acids
Citrulline,level 8,L-alpha-amino_acids
Creatine,kingdom,Organic_compounds
Creatine,superclass,Organic_acids_and_derivatives
Creatine,class,Carboxylic_acids_and_derivatives
Creatine,subclass,Amino_acids_peptides_and_analogues
Creatine,level 5,Amino_acids_and_derivatives
Creatine,level 6,Alpha_amino_acids_and_derivatives
Creatine,level 7,Alpha_amino_acids_and_derivatives
Creatine,level 8,Alpha_amino_acids_and_derivatives
Crotonoyl-CoA,kingdom,Organic_compounds
Crotonoyl-CoA,superclass,Lipids_and_lipid-like_molecules
Crotonoyl-CoA,class,Fatty_Acyls
Crotonoyl-CoA,subclass,Fatty_acyl_thioesters
Crotonoyl-CoA,level 5,Enoyl_CoAs
Crotonoyl-CoA,level 6,2-enoyl_CoAs
Crotonoyl-CoA,level 7,2-enoyl_CoAs
Crotonoyl-CoA,level 8,2-enoyl_CoAs
35-Cyclic_diGMP,kingdom,Organic_compounds
35-Cyclic_diGMP,superclass,Nucleosides_nucleotides_and_analogues
35-Cyclic_diGMP,class,(3->5)-dinucleotides_and_analogues
35-Cyclic_diGMP,subclass,(3->5)-cyclic_dinucleotides_and_analogues
35-Cyclic_diGMP,level 5,(3->5)-cyclic_dinucleotides_and_analogues
35-Cyclic_diGMP,level 6,(3->5)-cyclic_dinucleotides_and_analogues
35-Cyclic_diGMP,level 7,(3->5)-cyclic_dinucleotides_and_analogues
35-Cyclic_diGMP,level 8,(3->5)-cyclic_dinucleotides_and_analogues
L-Cysteinylglycine,kingdom,Organic_compounds
L-Cysteinylglycine,superclass,Organic_acids_and_derivatives
L-Cysteinylglycine,class,Carboxylic_acids_and_derivatives
L-Cysteinylglycine,subclass,Amino_acids_peptides_and_analogues
L-Cysteinylglycine,level 5,Peptides
L-Cysteinylglycine,level 6,Dipeptides
L-Cysteinylglycine,level 7,Dipeptides
L-Cysteinylglycine,level 8,Dipeptides
Cys-Gly_oxidized,kingdom,Organic_compounds
Cys-Gly_oxidized,superclass,Organic_acids_and_derivatives
Cys-Gly_oxidized,class,Carboxylic_acids_and_derivatives
Cys-Gly_oxidized,subclass,Amino_acids_peptides_and_analogues
Cys-Gly_oxidized,level 5,Peptides
Cys-Gly_oxidized,level 6,Dipeptides
Cys-Gly_oxidized,level 7,Dipeptides
Cys-Gly_oxidized,level 8,Dipeptides
L-Cystathionine,kingdom,Organic_compounds
L-Cystathionine,superclass,Organic_acids_and_derivatives
L-Cystathionine,class,Carboxylic_acids_and_derivatives
L-Cystathionine,subclass,Amino_acids_peptides_and_analogues
