,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
47,Quorum sensing,RP,"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid",,"2-[(3,5-dichlorophenyl)carbamoyl]-1,2-dimethylcyclopropane-1-carboxylic acid",KIHJEJVWUXTXPZ-UHFFFAOYSA-N,CC1(CC1(C)C(=O)O)C(=O)NC2=CC(=CC(=C2)Cl)Cl
48,Vitamin B12,RP,Adenosylcobalamin,,"(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-methanidyloxolane-3,4-diol;cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate",DFDCDQDATCDZSO-OUCXYWSSSA-L,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]
49,Quinone,RP,Coenzyme Q1,,"2,3-dimethoxy-5-methyl-6-(3-methylbut-2-enyl)cyclohexa-2,5-diene-1,4-dione",SOECUQMRSRVZQQ-UHFFFAOYSA-N,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)C
50,Quinone,RP,Coenzyme Q10,,"2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaenyl]-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",ACTIUHUUMQJHFO-UPTCCGCDSA-N,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
51,New,RP,L-Cysteinylglycine,,2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]acetic acid,ZUKPVRWZDMRIEO-VKHMYHEASA-N,C(C(C(=O)NCC(=O)O)N)S
52,New2,RP,Decarboxylated S-Adenosylmethionine,,"3-aminopropyl-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl]-methylsulfanium",ZUNBITIXDCPNSD-LSRJEVITSA-N,C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
53,Vitamin,RP,Desthiobiotin,,6-(5-methyl-2-oxoimidazolidin-4-yl)hexanoic acid,AUTOLBMXDDTRRT-UHFFFAOYSA-N,CC1C(NC(=O)N1)CCCCCC(=O)O
54,Fatty Acid,RP,Docosahexaenoic acid,,"(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid",MBMBGCFOFBJSGT-KUBAVDMBSA-N,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O
55,Phytohormone,RP,Dihydrozeatin,,2-methyl-4-(7H-purin-6-ylamino)butan-1-ol,XXFACTAYGKKOQB-UHFFFAOYSA-N,CC(CCNC1=NC=NC2=C1NC=N2)CO
56,Amino Acid derivative,RP,Dimethylglycine,,2-(dimethylamino)acetic acid,FFDGPVCHZBVARC-UHFFFAOYSA-N,CN(C)CC(=O)O
